Polling Firm,Commissioners,Fieldwork Start,Fieldwork End,Scope,Sample Size,Sample Size Qualification,Participation,Precision,Slovenska demokratska stranka,Lista Marjana Šarca,Socialni demokrati,Stranka modernega centra,Levica,Nova Slovenija–Krščanski demokrati,Stranka Alenke Bratušek,Demokratična stranka upokojencev Slovenije,Slovenska nacionalna stranka,Slovenska ljudska stranka,Piratska stranka Slovenije,Dobra država,Andrej Čuš in Zeleni Slovenije,Other
Mediana,Delo,2021-05-03,2021-05-06,National,712,Provided,Not Available,0.1%,26.9%,10.7%,18.7%,1.5%,11.6%,6.7%,5.2%,1.8%,3.1%,4.6%,2.1%,2.3%,2.0%,Not Available
Mediana,POP TV,2021-04-01,2021-04-25,National,714,Provided,Not Available,0.1%,27.1%,13.1%,16.6%,0.9%,12.2%,7.9%,6.6%,1.7%,2.2%,1.2%,3.5%,1.7%,3.1%,2.2%
Ninamedia,"Dnevnik, Večer",2021-04-13,2021-04-15,National,700,Provided,Not Available,0.1%,29.7%,15.8%,20.6%,0.5%,10.8%,11.6%,5.6%,0.5%,0.3%,1.9%,Not Available,Not Available,Not Available,2.8%
Parsifal,Nova 24TV,2021-04-12,2021-04-14,National,762,Provided,Not Available,0.1%,31.3%,16.9%,17.7%,1.1%,10%,6.4%,4.1%,2.5%,3.6%,4.1%,1.3%,0.2%,Not Available,0.9%
Mediana,POP TV,2021-03-01,2021-03-28,National,713,Provided,Not Available,0.1%,27.2%,14%,15.9%,1%,12.1%,6.7%,5.7%,2%,3.3%,2.2%,1.2%,2.6%,2.8%,3.3%
Mediana,Delo,2021-03-08,2021-03-12,National,703,Provided,Not Available,0.1%,25.7%,13.8%,16.3%,1.3%,14.1%,7.2%,3.5%,3.6%,3.3%,3.5%,1.9%,1.9%,3.0%,0.9%
Ninamedia,"Dnevnik, Večer",2021-03-09,2021-03-11,National,700,Provided,Not Available,0.1%,29.8%,13.9%,20.3%,1.4%,12.1%,6.6%,6.0%,1.7%,2.7%,3.0%,Not Available,Not Available,Not Available,2.5%
Parsifal,Nova 24TV,2021-03-01,2021-03-04,National,717,Provided,Not Available,0.1%,28.7%,12.4%,18.3%,1.8%,10%,6.9%,3.6%,3.2%,5.1%,2.1%,2.1%,2.9%,Not Available,2.9%
Mediana,POP TV,2021-02-01,2021-02-28,National,710,Provided,Not Available,0.1%,27.5%,12%,16.6%,1.2%,12.4%,6.5%,5.9%,1.8%,3.5%,3.9%,3.0%,2.4%,2.1%,1.1%
Ninamedia,"Dnevnik, Večer",2021-02-09,2021-02-11,National,700,Provided,Not Available,0.1%,26.6%,15.9%,20.4%,1.6%,13.7%,6.5%,4.8%,4.8%,1.9%,3.3%,Not Available,Not Available,Not Available,0.5%
Mediana,Delo,2021-02-09,2021-02-11,National,712,Provided,Not Available,0.1%,26.8%,11.1%,14.8%,1.4%,15.6%,7.3%,5.3%,3.3%,3.6%,1.2%,Not Available,Not Available,Not Available,9.7%
Parsifal,Nova 24TV,2021-01-25,2021-01-28,National,732,Provided,Not Available,0.1%,36.4%,11.9%,12.5%,1.1%,11.9%,5.6%,2.9%,5.6%,2.3%,3.9%,Not Available,Not Available,Not Available,5.4%
Mediana,Delo,2021-01-08,2021-01-25,National,710,Provided,Not Available,0.1%,26.1%,13.6%,13.9%,2.2%,10.7%,7.7%,6.3%,3.9%,3.7%,2.9%,Not Available,Not Available,Not Available,Not Available
Ninamedia,Dnevnik,2021-01-12,2021-01-14,National,700,Provided,Not Available,0.1%,29.1%,15.8%,18.4%,1.0%,14.7%,7.2%,4.4%,4.7%,1.8%,1.6%,Not Available,Not Available,Not Available,Not Available
Mediana,Delo,2020-12-01,2020-12-28,National,712,Provided,Not Available,0.1%,27.9%,11.8%,16.5%,1.5%,13.6%,9.0%,3.7%,2.7%,2.1%,2.4%,Not Available,Not Available,Not Available,Not Available
Parsifal,Nova 24TV,2020-12-21,2020-12-23,National,757,Provided,Not Available,0.1%,32.4%,15.3%,12.4%,1.9%,11.1%,4.0%,3.7%,9.9%,2.2%,1.7%,Not Available,Not Available,Not Available,Not Available
Mediana,Delo,2021-01-04,2021-01-07,National,704,Provided,Not Available,0.1%,22.9%,12.5%,14.2%,1.8%,16.1%,8%,5.2%,3.5%,3.3%,2.5%,Not Available,Not Available,Not Available,9.9%
CRJM,Delo,2020-12-01,2020-12-30,National,953,Provided,Not Available,0.1%,22.4%,20.5%,17.4%,1.5%,13.2%,6.2%,1.9%,7.6%,3.5%,1.5%,Not Available,Not Available,Not Available,4.5%
Ninamedia,Dnevnik,2020-12-15,2020-12-17,National,700,Provided,Not Available,0.1%,30.3%,17.2%,17.4%,0.1%,13.4%,5.6%,4.3%,5.4%,2.9%,3.2%,Not Available,Not Available,Not Available,Not Available
Mediana,Delo,2020-12-07,2020-12-09,National,711,Provided,Not Available,0.1%,26.0%,15.5%,11.8%,1.5%,14.5%,6.9%,4.9%,5.5%,3.5%,1.1%,Not Available,Not Available,Not Available,5.9%
Parsifal,Nova 24TV,2020-12-07,2020-12-09,National,727,Provided,Not Available,0.1%,31.8%,17.3%,12.5%,1.1%,7.6%,10.2%,4.1%,8.7%,0.7%,2.6%,Not Available,Not Available,Not Available,3.4%
Mediana,POP TV,2020-11-01,2020-11-23,National,711,Provided,Not Available,0.1%,24.7%,16.2%,16.5%,1%,13%,6.4%,3%,5.8%,3.9%,2.1%,Not Available,Not Available,Not Available,7.3%
Ninamedia,"Dnevnik, Večer",2020-11-10,2020-11-12,National,700,Provided,Not Available,0.1%,29.3%,18.2%,18.1%,0.3%,11.8%,6.6%,4.7%,3.6%,2.9%,2.0%,Not Available,Not Available,Not Available,2.4%
Mediana,Delo,2020-11-02,2020-11-05,National,720,Provided,Not Available,0.1%,28.1%,14.2%,16.8%,0.7%,12.2%,8.5%,1.1%,5.6%,4.3%,1.6%,Not Available,Not Available,Not Available,Not Available
Parsifal,Nova 24TV,2020-11-02,2020-11-04,National,704,Provided,Not Available,0.1%,32.4%,15.3%,16.9%,0.8%,9%,6.4%,3.6%,7.1%,3%,1.5%,Not Available,Not Available,Not Available,4%
Mediana,POP TV,2020-10-01,2020-10-25,National,714,Provided,Not Available,0.1%,26.9%,13.7%,16.9%,1.7%,11.8%,7.6%,4.8%,2.6%,5.3%,1.7%,Not Available,Not Available,Not Available,7.1%
Mediana,POP TV,2020-10-01,2020-10-08,National,712,Provided,Not Available,0.1%,29.3%,16.3%,14.6%,1.1%,12.4%,7.7%,4.5%,4.4%,2.0%,2.2%,Not Available,Not Available,Not Available,Not Available
Ninamedia,"Dnevnik, Večer",2020-10-13,2020-10-15,National,700,Provided,Not Available,0.1%,29.3%,18.2%,17.8%,1.1%,11.1%,8.6%,4.5%,1.7%,2.9%,3.2%,Not Available,Not Available,Not Available,1.5%
Mediana,POP TV,2020-09-01,2020-09-27,National,713,Provided,Not Available,0.1%,26.5%,18.9%,15.3%,0.5%,9.7%,8.7%,3.8%,1.6%,5.1%,2.8%,Not Available,Not Available,Not Available,6.9%
Ninamedia,"Dnevnik, Večer",2020-09-15,2020-09-17,National,700,Provided,Not Available,0.1%,33.6%,13.7%,20.7%,0.6%,10.9%,7.8%,2.9%,2%,2.4%,2.6%,Not Available,Not Available,Not Available,2.9%
Parsifal,Nova 24TV,2020-06-01,2020-09-18,National,701,Provided,Not Available,0.1%,34.9%,15.2%,17.7%,0.8%,8.1%,4.6%,3.7%,5.5%,3.5%,2%,Not Available,Not Available,Not Available,Not Available
Mediana,Delo,2020-09-07,2020-09-10,National,724,Provided,Not Available,0.1%,30.8%,13%,16%,2.6%,10%,5.2%,5%,4.9%,2.4%,3.2%,Not Available,Not Available,Not Available,6.8%
Mediana,POPTV,2020-08-01,2020-08-31,National,714,Provided,Not Available,0.1%,27.8%,14.5%,14.5%,1.7%,12.2%,6.9%,2.6%,5.6%,4.6%,2.9%,Not Available,Not Available,Not Available,Not Available
Mediana,POPTV,2020-08-03,2020-08-06,National,715,Provided,Not Available,0.1%,29.8%,14.8%,17.1%,2.1%,10.9%,7.6%,2.9%,2.3%,2.4%,1.8%,Not Available,Not Available,Not Available,Not Available
Ninamedia,"Dnevnik, Večer",2020-08-11,2020-08-13,National,700,Provided,Not Available,0.1%,35.9%,14.6%,21.5%,0.2%,10.2%,8.8%,1.5%,2.8%,3.3%,.5%,Not Available,Not Available,Not Available,0.8%
Mediana,POPTV,2020-07-01,2020-07-26,National,717,Provided,Not Available,0.1%,26.5%,12.3%,18.8%,0.6%,14.2%,5.8%,3.7%,3.5%,3.2%,3.5%,Not Available,Not Available,Not Available,Not Available
Mediana,POPTV,2020-07-06,2020-07-09,National,725,Provided,Not Available,0.1%,27.2%,18.4%,17.2%,2.9%,9.7%,6.3%,2.3%,3.8%,4.1%,2.5%,Not Available,Not Available,Not Available,Not Available
Mediana,POP TV,2020-08-03,2020-08-06,National,715,Provided,Not Available,0.1%,29.8%,14.8%,17.1%,2.1%,10.9%,7.6%,2.9%,2.3%,2.4%,1.8%,Not Available,Not Available,Not Available,6.6%
Mediana,POP TV,2020-07-01,2020-07-26,National,717,Provided,Not Available,0.1%,26.5%,12.3%,18.8%,0.6%,14.2%,5.8%,3.7%,3.5%,3.2%,3.5%,Not Available,Not Available,Not Available,Not Available
Mediana,POP TV,2020-07-06,2020-07-09,National,725,Provided,Not Available,0.1%,27.2%,18.4%,17.2%,2.9%,9.7%,6.3%,2.3%,3.8%,4.1%,2.5%,Not Available,Not Available,Not Available,Not Available
Parsifal,Nova 24TV,2020-06-29,2020-07-02,National,715,Provided,Not Available,0.1%,31.1%,20.7%,16.5%,0.6%,9.0%,5.3%,1.2%,5.7%,4.3%,2.5%,Not Available,Not Available,Not Available,Not Available
Mediana,POP TV,2020-06-01,2020-06-28,National,717,Provided,Not Available,0.1%,26.8%,16.4%,13.2%,Not Available,14.2%,7.7%,2.9%,7.2%,5.9%,3.2%,Not Available,Not Available,Not Available,2.6%
Parsifal,Nova 24TV,2020-06-15,2020-06-17,National,723,Provided,Not Available,0.1%,32.8%,18%,13.2%,1.6%,8.5%,7.8%,2.2%,5.9%,2%,4.2%,Not Available,Not Available,Not Available,3.9%
Ninamedia,"Dnevnik, Večer",2020-06-09,2020-06-11,National,700,Provided,Not Available,0.1%,33.1%,15.9%,22.2%,0.4%,12%,5.7%,1.9%,4.2%,2%,1.6%,Not Available,Not Available,Not Available,0.9%
Mediana,POP TV,2020-05-18,2020-05-21,National,718,Provided,Not Available,0.1%,30.7%,23.2%,10.9%,0.3%,12.1%,6.1%,4.0%,4.3%,4.0%,Not Available,Not Available,Not Available,Not Available,4.3%
Ninamedia,"Dnevnik, Večer",2020-05-12,2020-05-13,National,700,Provided,Not Available,0.1%,22.1%,12.2%,8.2%,0.3%,6.1%,4.1%,1.1%,3.7%,1.8%,1.8%,Not Available,Not Available,Not Available,0.8%
Parsifal,Nova 24TV,2020-05-06,2020-05-08,National,776,Provided,Not Available,0.1%,30.6%,17.9%,12.8%,0.2%,9.5%,6.2%,3.7%,6.4%,5.8%,2.8%,Not Available,Not Available,Not Available,4.2%
Mediana,Delo,2020-05-04,2020-05-08,National,712,Provided,Not Available,0.1%,25.3%,21.7%,13.0%,3.6%,12.3%,8.2%,1.4%,5.3%,2.8%,0.3%,Not Available,Not Available,Not Available,Not Available
Mediana,POPTV,2020-04-26,2020-04-26,National,741,Provided,Not Available,0.1%,19.3%,11.9%,6.8%,0.9%,7.8%,4.0%,3.1%,5.2%,2.8%,1.0%,Not Available,Not Available,Not Available,0.6%
Ninamedia,"Dnevnik, Večer",2020-04-14,2020-04-16,National,700,Provided,Not Available,0.1%,37.3%,16.2%,14.7%,1.7%,10.1%,7.9%,1.0%,4.3%,5.8%,1.0%,Not Available,Not Available,Not Available,Not Available
Mediana,Delo,2020-04-06,2020-04-09,National,724,Provided,Not Available,0.1%,29.1%,18.4%,13.6%,1.2%,10.3%,6.1%,4.0%,4.8%,5.0%,2.3%,Not Available,Not Available,Not Available,Not Available
Ninamedia,"Dnevnik, Večer",2020-03-10,2020-03-12,National,700,Provided,Not Available,0.1%,34.2%,21.8%,13.5%,0.7%,9.3%,9.2%,1.0%,3.8%,4.1%,1.5%,Not Available,Not Available,Not Available,0.9%
Mediana,Delo,2020-02-25,2020-03-04,National,777,Provided,Not Available,0.1%,31.0%,21.8%,10.6%,4.0%,11.1%,7.9%,1.9%,4.7%,4.0%,3.0%,Not Available,Not Available,Not Available,0.0%
Parsifal,Nova 24TV,2020-02-19,2020-02-20,National,720,Provided,Not Available,0.1%,32.8%,23.7%,7.8%,3.7%,7.9%,5.3%,1.3%,6.0%,4.4%,3.4%,Not Available,Not Available,Not Available,3.8%
Ninamedia,RTV SLO,2020-02-11,2020-02-13,National,700,Provided,Not Available,0.1%,29.3%,25.6%,12.3%,3.0%,7.9%,7.8%,1.5%,4.3%,3.7%,3.4%,Not Available,Not Available,Not Available,1.2%
Parsifal,Nova 24,2020-02-12,2020-02-13,National,723,Provided,Not Available,0.1%,30.8%,19.6%,10.0%,4.9%,7.5%,8.0%,1.8%,6.0%,4.6%,3.5%,Not Available,Not Available,Not Available,3.3%
Parsifal,Nova 24,2020-02-03,2020-02-05,National,702,Provided,Not Available,0.1%,26%,24.5%,9.2%,2.8%,7.4%,6.3%,2.8%,5.7%,7.7%,4.3%,Not Available,Not Available,Not Available,3.2%
Mediana,Delo,2020-01-28,2020-02-03,National,777,Provided,Not Available,0.1%,25.7%,22.1%,11.2%,3.5%,11.2%,5.8%,2.8%,3.1%,5.1%,2.7%,Not Available,Not Available,Not Available,5.8%
Parsifal,,2020-01-27,2020-01-29,National,952,Provided,Not Available,0.1%,27.2%,27.1%,10.5%,2.8%,7.2%,4.9%,3.4%,5.8%,5.8%,3.1%,Not Available,Not Available,Not Available,Not Available
Mediana,POP TV,2020-01-01,2020-01-26,National,767,Provided,Not Available,0.1%,23.0%,24.7%,11.8%,2.5%,11.8%,10.1%,2.9%,6.7%,4.2%,Not Available,Not Available,Not Available,Not Available,2.3%
Ninamedia,RTV SLO,2020-01-14,2020-02-16,National,700,Provided,Not Available,0.1%,25.4%,29.2%,12.2%,0.5%,9.0%,9.8%,1.2%,4.4%,3.5%,3.6%,Not Available,Not Available,Not Available,1.4%
Mediana,Delo,2020-01-03,2020-01-09,National,723,Provided,Not Available,0.1%,21.2%,22.3%,9.6%,2.7%,11.2%,11%,3.2%,4.8%,5.3%,1.9%,Not Available,Not Available,Not Available,6.9%
Ninamedia,RTV SLO,2019-12-10,2019-12-12,National,700,Provided,Not Available,0.1%,24.2%,29.5%,14.2%,0.3%,9.5%,7.7%,1.0%,4.5%,3.6%,4.1%,Not Available,Not Available,Not Available,1.3%
Mediana,POP TV,2019-11-01,2019-11-26,National,732,Provided,Not Available,0.1%,25.2%,22.5%,15.5%,Not Available,14.4%,5.9%,2.1%,2.5%,5.9%,Not Available,Not Available,Not Available,Not Available,Not Available
Ninamedia,RTV SLO,2019-11-12,2019-11-14,National,700,Provided,Not Available,0.1%,21%,33.1%,11%,0.9%,10.2%,11.5%,1.4%,5.0%,1.7%,2.6%,Not Available,Not Available,Not Available,1.6%
Mediana,Delo,2019-10-28,2019-11-07,National,735,Provided,Not Available,0.1%,22.6%,22.8%,8.9%,2.8%,16.6%,8.8%,3.4%,3.3%,4.7%,1.5%,Not Available,Not Available,Not Available,4.6%
Ninamedia,RTV SLO,2019-10-15,2019-10-17,National,700,Provided,Not Available,0.1%,22.5%,30.8%,16%,2%,9.5%,8%,1.5%,5.2%,1.4%,2.8%,Not Available,Not Available,Not Available,0.3%
Mediana,POP TV,2019-09-01,2019-09-22,National,715,Provided,Not Available,0.1%,24.4%,26.4%,11.5%,Not Available,12.3%,8.7%,2.6%,3.6%,4.7%,4.1%,Not Available,Not Available,Not Available,Not Available
Ninamedia,RTV SLO,2019-09-10,2019-09-12,National,700,Provided,Not Available,0.1%,21.5%,32.3%,13.6%,1.2%,9.6%,6.5%,2.6%,4.3%,2.9%,4.2%,Not Available,Not Available,Not Available,1.4%
Mediana,Delo,2019-08-28,2019-09-05,National,726,Provided,Not Available,0.1%,23.6%,30.4%,10.3%,2.4%,10.3%,8.2%,3.4%,3.7%,4.7%,3.1%,Not Available,Not Available,Not Available,Not Available
Mediana,POP TV,2019-08-01,2019-08-25,National,722,Provided,Not Available,0.1%,15.6%,18.8%,6.9%,1.8%,4.8%,4.0%,2.4%,2.9%,2.3%,2.0%,Not Available,Not Available,Not Available,4.4%
Ninamedia,RTV SLO and Dnevnik,2019-08-12,2019-08-14,National,700,Provided,Not Available,0.1%,15.5%,22.2%,10.0%,0.5%,6.2%,3.6%,2.4%,3.3%,1.8%,1.5%,Not Available,Not Available,Not Available,0.6%
Mediana,Delo,2019-07-31,2019-08-08,National,736,Provided,Not Available,0.1%,20.6%,24.4%,10.5%,4.2%,9.4%,9.7%,2.6%,3.2%,4.8%,3.3%,Not Available,Not Available,Not Available,Not Available
Ninamedia,RTV SLO and Dnevnik,2019-07-11,2019-07-13,National,700,Provided,Not Available,0.1%,25.2%,29.9%,14.2%,1.4%,8.7%,7.7%,1.6%,4.8%,2.7%,2.3%,Not Available,Not Available,Not Available,1.6%
Mediana,POP TV,2019-06-01,2019-06-23,National,718,Provided,Not Available,0.1%,24.2%,26.8%,12.3%,1.9%,9.4%,9.5%,3.2%,3.9%,4.7%,3.2%,Not Available,Not Available,Not Available,0.8%
Mediana,POP TV,2019-05-28,2019-06-06,National,744,Provided,Not Available,0.1%,23.1%,28.6%,12.7%,3.1%,9.5%,7.5%,3.1%,4.4%,5.5%,2.5%,Not Available,Not Available,Not Available,Not Available
Ninamedia,Dnevnik and Večer,2019-06-11,2019-06-13,National,700,Provided,Not Available,0.1%,22.3%,29.6%,12.1%,0.7%,7.5%,8.0%,1.6%,4.1%,2.1%,2.0%,Not Available,Not Available,Not Available,Not Available
Valicon,Politikon-EP,2019-05-21,2019-05-24,European,3028,Provided,Not Available,0.1%,25%,15.2%,14.9%,3.5%,8.7%,9.2%,5.1%,7.3%,3.7%,Not Available,Not Available,Not Available,Not Available,8.8%
Mediana,POP TV,2019-05-14,2019-05-23,European,735,Provided,Not Available,0.1%,16.7%,14.4%,15.1%,1.1%,9.9%,11.9%,2.3%,6.9%,11%,Not Available,Not Available,Not Available,Not Available,10.6%
Ninamedia,Dnevnik and Večer,2019-05-20,2019-05-23,European,675,Provided,Not Available,0.1%,25%,20.6%,15%,1.5%,8.3%,10.4%,4.3%,7.3%,3.2%,Not Available,Not Available,Not Available,Not Available,Not Available
Valicon,Politikon-EP,2019-05-21,2019-05-22,European,1012,Provided,Not Available,0.1%,22.1%,18.9%,15.8%,4%,5.9%,7.7%,5%,5.5%,6.2%,Not Available,Not Available,Not Available,Not Available,8.8%
Ninamedia,"RTV SLO, Dnevnik, Vecer",2019-05-14,2019-05-16,European,700,Provided,Not Available,0.1%,22.7%,20.3%,21.7%,0%,7%,9.1%,3.4%,8.2%,6%,Not Available,Not Available,Not Available,Not Available,1.8%
Mediana,Delo,2019-05-08,2019-05-15,European,732,Provided,Not Available,0.1%,17.4%,15.3%,15.9%,1.7%,9.1%,10.4%,3.7%,5%,11.6%,Not Available,Not Available,Not Available,Not Available,9.9%
Ninamedia,Dnevnik and RTV Slovenija,2019-05-14,2019-05-16,National,700,Provided,Not Available,1%,24%,32%,15%,0%,8%,6%,2%,4%,2%,3%,Not Available,Not Available,Not Available,Not Available
Mediana,POP TV and Delo,2019-05-08,2019-05-15,National,732,Provided,Not Available,0.1%,22.0%,24.0%,10.1%,1.6%,12.2%,8.1%,3.2%,4.6%,5.2%,3.3%,Not Available,Not Available,Not Available,Not Available
Mediana,POP TV,2019-05-08,2019-05-15,European,714,Provided,Not Available,0.1%,17.4%,15.3%,15.9%,1.7%,9.1%,10.4%,3.7%,5.0%,11.6%,Not Available,Not Available,Not Available,Not Available,Not Available
Ninamedia,Dnevnik and RTV Slovenija,2019-05-14,2019-05-16,European,700,Provided,Not Available,0.1%,22.7%,20.3%,21.7%,0.0%,7.0%,9.1%,3.4%,8.2%,6.0%,Not Available,Not Available,Not Available,Not Available,Not Available
Mediana,POP TV,2019-04-28,2019-04-28,National,714,Provided,81.7%,0.1%,14.3%,17.2%,6.4%,3.5%,5.9%,5.5%,1.3%,2.4%,3.9%,1.5%,Not Available,Not Available,Not Available,1.7%
Ninamedia,Dnevnik and RTV Slovenija,2019-04-09,2019-04-11,National,700,Provided,71.6%,0.1%,14.2%,26.2%,9.6%,0.5%,6.4%,7.1%,1.9%,3.1%,1.5%,0.6%,Not Available,Not Available,Not Available,0.5%
Parsifal SC,Nova24TV,2019-04-01,2019-04-04,National,702,Provided,68.4%,0.1%,18.9%,16.8%,7.1%,1.8%,4.7%,5.0%,2.1%,3.0%,4.2%,3.3%,Not Available,Not Available,Not Available,1.4%
Mediana,POP TV,2019-03-24,2019-03-24,National,792,Provided,72.3%,0.1%,15.9%,16.6%,5.7%,3.2%,6.5%,6.6%,3.5%,3.3%,2.8%,1.6%,Not Available,Not Available,Not Available,3.8%
Ninamedia,Dnevnik and RTV Slovenija,2019-03-12,2019-03-14,National,700,Provided,74.5%,0.1%,13.7%,28.0%,8.1%,0.4%,6.2%,8.2%,1.9%,3.1%,2.4%,1.7%,Not Available,Not Available,Not Available,1.0%
Mediana,Delo,2019-02-26,2019-03-07,National,729,Provided,70.9%,0.1%,16.0%,19.4%,6.7%,0.8%,8.1%,6.8%,1.5%,2.8%,2.1%,1.9%,Not Available,Not Available,Not Available,2.8%
Mediana,POP TV,2019-02-24,2019-02-24,National,707,Provided,73.0%,0.1%,16.1%,20.6%,5.4%,2.5%,6.7%,4.8%,3.3%,3.3%,2.5%,2.9%,Not Available,Not Available,Not Available,2.4%
Ninamedia,Dnevnik and RTV Slovenija,2019-02-12,2019-02-14,National,700,Provided,75.6%,0.1%,11.6%,31.3%,8.9%,2.7%,6.2%,3.9%,2.9%,2.9%,2.5%,2.5%,Not Available,Not Available,Not Available,0.7%
Ninamedia,MMC and RTV Slovenija,2019-01-29,2019-02-06,National,731,Provided,86%,0.1%,15.1%,22.4%,5.8%,2.7%,5.4%,5.2%,2.4%,1.7%,2.6%,1.4%,Not Available,Not Available,Not Available,Not Available
Ninamedia,MMC and RTV Slovenija,2019-01-08,2019-01-10,National,700,Provided,71.2%,0.1%,16.9%,18.0%,11.7%,3.1%,7.1%,4.1%,2.5%,2.9%,1.7%,3.1%,Not Available,Not Available,Not Available,0.1%
Ninamedia,,2018-12-11,2018-12-13,National,700,Provided,Not Available,1%,26%,18%,17%,4%,10%,8%,3%,4%,3%,Not Available,Not Available,Not Available,Not Available,Not Available
Parsifal SC,,2018-12-04,2018-12-07,National,712,Provided,Not Available,1%,28%,16%,16%,3%,6%,7%,4%,7%,8%,2%,Not Available,Not Available,Not Available,Not Available
Mediana,POP TV,2018-11-25,2018-11-25,National,714,Provided,73.0%,0.1%,18.3%,7.0%,8.9%,3.7%,6.1%,5.5%,3.2%,3.4%,3.8%,3.8%,Not Available,Not Available,Not Available,4.5%
Ninamedia,Dnevnik and RTV Slovenija,2018-11-19,2018-11-20,National,700,Provided,76.6%,0.1%,18.0%,12.2%,14.7%,5.0%,8.1%,6.1%,2.3%,3.7%,3.7%,Not Available,Not Available,Not Available,Not Available,2.1%
Parsifal SC,,2018-11-07,2018-11-07,National,706,Provided,Not Available,1%,29%,18%,15%,3%,6%,6%,3%,3%,6%,6%,Not Available,Not Available,Not Available,Not Available
Mediana,,2018-11-01,2018-11-01,National,725,Provided,Not Available,1%,31%,13%,11%,5%,10%,8%,5%,5%,4%,3%,Not Available,Not Available,Not Available,Not Available
Mediana,Delo,2018-10-03,2018-10-11,National,725,Provided,Not Available,1%,28%,14%,11%,7%,9%,7%,6%,3%,Not Available,3%,Not Available,Not Available,Not Available,Not Available
Ninamedia,,2018-10-09,2018-10-11,National,700,Provided,Not Available,1%,24%,19%,17%,6%,10%,7%,4%,6%,3%,Not Available,Not Available,Not Available,Not Available,Not Available
Ninamedia,,2018-09-11,2018-09-13,National,700,Provided,80.1%,0.1%,23.7%,10.2%,9.8%,7.1%,6.2%,6.1%,3.7%,3.0%,2.4%,Not Available,Not Available,Not Available,Not Available,1.1%
Mediana,Delo,2018-08-30,2018-09-06,National,715,Provided,66.9%,0.1%,17.9%,7.2%,6.6%,4.4%,6.9%,4.7%,3.2%,4.0%,3.2%,3.0%,Not Available,Not Available,Not Available,5.8%
Mediana,POP TV,2018-08-26,2018-08-26,National,730,Provided,67.8%,0.1%,20.9%,9.1%,6.9%,4.3%,6.4%,4.4%,3.2%,1.9%,3.1%,Not Available,Not Available,Not Available,Not Available,7.6%
Ninamedia,Dnevnik and RTV Slovenija,2018-08-13,2018-08-15,National,700,Provided,80.3%,0.1%,24.0%,10.1%,10.1%,3.1%,6.8%,4.8%,1.7%,3.2%,2.3%,Not Available,Not Available,Not Available,Not Available,14.2%
